PlayerID,PlayerName,HoursPlayed
47711610-f3b7-4cc8-b804-340bc7c2a74f,Michael Crawford,32.47
720951fd-2136-405a-8aab-87bb981ab02f,Julie Bowen,19.16
412673b5-5d68-4071-ad0c-c3be23c8a6b6,Haley Gibson MD,37.1
2dce9d9b-1d4a-4ba8-8900-4c4622511b1a,Erica Klein,23.7
7a2731d2-6b9a-4d84-8261-5b9a1986c5ab,Joseph Chandler,11.24
37492402-ee2c-4fcb-b81d-a8bd896bc5d7,Michele Daugherty DDS,16.12
cdfa1239-7550-4d50-910f-0db4ff491f16,Holly Brown,19.64
a99f30ac-7146-4a69-b38d-f8633b9afa42,Kathryn Vaughn,11.17
8257ea31-902a-4fdc-94cc-a69ad885e626,Jennifer Smith,29.25
0a01fdbe-0562-4477-bbb2-b2daab4159d8,Albert Brown,18.21
23d04c81-19f5-4dea-bb2f-49c150b294b5,Kristie Nguyen,16.98
7c2d2abe-c82a-4676-91be-0c3e09b48084,Heather Padilla,34.1
f4d124c2-ae2d-48ca-95cd-1be778fc8760,Scott Brown,26.43
47884f6e-7ed2-4b10-8a9e-ee3b27f03def,Christopher Chambers,19.95
013c31e9-c46f-45e3-964c-434e486d1a5e,Elizabeth Warren,25.53
bed70766-70ae-4cde-a5ef-bb700b91394d,Roberto Jarvis,33.59
ca99c323-74a3-432e-99ab-48b0feeee8aa,Joshua Sanchez,26.59
0c9fd2c4-5a67-474d-8d3a-740089094adc,Robin Kidd,39.76
737f58bf-c49e-4cfb-a38b-25d508c72c54,Lacey Collins,11.51
32856b06-362a-4a1f-95b7-e4c2a2a2f471,Steven Joseph,18.5
b42898d0-a5b1-49e1-9871-9d363af197db,Jason Diaz,39.96
ecdd3804-f4b6-428d-b873-0e28e29d5300,Brittany Dunn,38.74
0f3c7a2e-9cb2-4b3f-9d38-9d26b7b8edbb,Karla Clark,38.32
7e52edf0-6f9c-4052-8be9-d2c3a4a5305e,Victoria Moody,33.04
5701bd39-6e83-4af4-8cce-b68d510d784a,James Manning,15.81
c30ed259-9fdb-4b51-87ac-ae8920a31857,Brent Brown,23.37
b632826d-7ea2-42b9-9915-1d104cd7927d,Kristin Palmer,3.73
642e106c-32c5-49e8-93fa-307070956f06,Xavier Sweeney,3.39
7d1e7ddb-0179-4b71-8fa1-049119b2d4d8,Stephanie Wright,27.33
13dc84ab-a2f5-4a31-8653-b6ea647e31de,Jennifer Patel,25.57
ffb14d95-730b-456a-986a-c1989008c891,William Burke,37.83
ae7725c4-3c49-4504-9e32-70841769aa36,David Parker,19.04
c46fec62-c2f0-47e4-8430-eb1d7806a064,Bryan Goodman,33.88
ae7e3c66-181c-48dc-8f3e-9e9d99fea887,Morgan Adams,24.04
dc960c00-970d-4767-ae1a-69315f855427,Anthony Marshall,34.57
47849695-b894-4649-92a6-f533ffa9f32a,Wesley Morrow,20.59
8cb0df35-ee67-43db-95b3-08c2b9d1f351,Wesley Cook,27.29
2c4ffb2e-45be-47f1-b50e-02ea3dd97660,Chelsea Thomas,6.57
86bc34d6-9f9f-4987-a960-7fbd6323d34f,Matthew Nelson,32.42
6b9f1c5e-3b1e-497a-a9ea-d52346e9258a,David Castillo,2.9
c205b0d5-ec2a-431d-8d03-06acb75b4669,Eric Wilson,15.18
bc6592df-af24-4b02-9c2d-6867284c662e,Evan King,16.7
9704822e-7ca6-4b1f-b438-8c5de41741c6,Kevin Hunter,34.51
